playerID,playerName,team,position,opponent,week_num,rec_tgt_roll,rush_att_roll,off_snp_roll,ease_roll
11624,Xavier Worthy,KC,WR,WAS,8,5.0,1.0,51.0,1.1
11624,Xavier Worthy,KC,WR,BUF,9,6.0,1.0,52.0,1.1
11625,Adonai Mitchell,NYJ,WR,PIT,1,2.0,,15.0,1.4
11625,Adonai Mitchell,NYJ,WR,BUF,2,3.0,,11.0,1.2
11625,Adonai Mitchell,NYJ,WR,MIA,4,3.3,,25.3,1.1
11625,Adonai Mitchell,NYJ,WR,CAR,7,3.0,,22.0,0.9
11625,Adonai Mitchell,NYJ,WR,,9,2.0,,21.0,0.9
11626,Xavier Legette,CAR,WR,JAX,1,7.0,,50.0,0.9
11626,Xavier Legette,CAR,WR,ARI,2,7.5,1.0,59.0,1.0
11626,Xavier Legette,CAR,WR,MIA,5,6.0,1.0,57.7,0.9
11626,Xavier Legette,CAR,WR,DAL,6,4.3,1.0,57.3,1.1
11626,Xavier Legette,CAR,WR,NYJ,7,5.3,,53.7,1.1
11626,Xavier Legette,CAR,WR,BUF,8,5.3,,53.3,1.2
11626,Xavier Legette,CAR,WR,GB,9,5.7,,47.7,1.0
11627,Troy Franklin,DEN,WR,TEN,1,6.0,,45.0,1.0
11627,Troy Franklin,DEN,WR,IND,2,7.5,1.0,46.5,1.1
11627,Troy Franklin,DEN,WR,LAC,3,6.3,1.0,44.7,1.0
11627,Troy Franklin,DEN,WR,CIN,4,7.0,1.0,45.3,1.0
11627,Troy Franklin,DEN,WR,PHI,5,5.7,,44.0,0.9
11627,Troy Franklin,DEN,WR,NYJ,6,5.7,1.0,42.0,1.0
11627,Troy Franklin,DEN,WR,NYG,7,6.3,1.0,43.0,1.0
11627,Troy Franklin,DEN,WR,DAL,8,7.3,1.0,41.7,1.2
11627,Troy Franklin,DEN,WR,HOU,9,9.3,2.0,46.7,1.1
11628,Marvin Harrison,ARI,WR,NO,1,6.0,,59.0,0.9
11628,Marvin Harrison,ARI,WR,CAR,2,5.5,,55.0,0.9
11628,Marvin Harrison,ARI,WR,SF,3,5.7,,54.3,0.9
11628,Marvin Harrison,ARI,WR,SEA,4,7.0,,57.0,1.0
11628,Marvin Harrison,ARI,WR,TEN,5,7.0,,57.3,1.0
11628,Marvin Harrison,ARI,WR,IND,6,5.7,,45.3,1.0
11628,Marvin Harrison,ARI,WR,GB,7,4.3,,44.7,1.1
11628,Marvin Harrison,ARI,WR,DAL,9,6.0,,43.3,1.2
11629,Devontez Walker,BAL,WR,CLE,2,2.0,,13.0,1.3
11629,Devontez Walker,BAL,WR,DET,3,1.5,,10.0,1.2
11630,Roman Wilson,PIT,WR,SEA,2,2.0,,22.0,1.0
11630,Roman Wilson,PIT,WR,CLE,6,1.5,,18.5,1.1
11630,Roman Wilson,PIT,WR,CIN,7,1.7,,23.3,1.1
11630,Roman Wilson,PIT,WR,GB,8,2.7,,25.7,1.2
11630,Roman Wilson,PIT,WR,IND,9,3.0,,30.3,1.1
11631,Brian Thomas,JAX,WR,CAR,1,7.0,1.0,57.0,0.9
11631,Brian Thomas,JAX,WR,CIN,2,9.5,1.0,62.0,1.0
11631,Brian Thomas,JAX,WR,HOU,3,8.3,1.0,60.3,0.9
11631,Brian Thomas,JAX,WR,SF,4,8.3,1.0,59.3,1.0
11631,Brian Thomas,JAX,WR,KC,5,6.3,1.0,55.0,0.9
11631,Brian Thomas,JAX,WR,SEA,6,7.7,1.0,56.3,0.9
11631,Brian Thomas,JAX,WR,LAR,7,7.7,,55.3,0.9
11631,Brian Thomas,JAX,WR,LV,9,7.3,,54.7,1.0
11632,Malik Nabers,NYG,WR,WAS,1,12.0,,64.0,1.0
11632,Malik Nabers,NYG,WR,DAL,2,12.5,,65.0,1.2
11632,Malik Nabers,NYG,WR,KC,3,10.7,,63.7,1.1
11632,Malik Nabers,NYG,WR,LAC,4,7.7,,50.7,1.0
11633,Jamari Thrash,CLE,WR,CIN,1,1.0,,21.0,1.1
11633,Jamari Thrash,CLE,WR,BAL,2,1.0,,20.5,1.2
11633,Jamari Thrash,CLE,WR,GB,3,1.7,,17.7,1.1
11633,Jamari Thrash,CLE,WR,MIN,5,1.7,,20.0,1.1
